Vulnerable,Git Commit Hash,Affected Functions,Affected Classes,File,Line,Column,Severity,Rule,CWE,Message
No,f0d1bec9d58d4c038d0ac958c9af82be6eb18045,,,include/linux/log2.h,201,17,warning,sizeofCalculation,682,Found calculation inside sizeof().
No,f0d1bec9d58d4c038d0ac958c9af82be6eb18045,,,include/linux/log2.h,231,10,warning,sizeofCalculation,682,Found calculation inside sizeof().
No,f0d1bec9d58d4c038d0ac958c9af82be6eb18045,,,include/linux/log2.h,232,9,warning,sizeofCalculation,682,Found calculation inside sizeof().
No,f0d1bec9d58d4c038d0ac958c9af82be6eb18045,"[{""Name"": ""iov_iter_iovec(const struct iov_iter *)"", ""Begin Line"": 47, ""End Line"": 54}]",,include/linux/uio.h,51,14,warning,sizeofCalculation,682,Found calculation inside sizeof().
No,f0d1bec9d58d4c038d0ac958c9af82be6eb18045,"[{""Name"": ""iov_iter_iovec(const struct iov_iter *)"", ""Begin Line"": 47, ""End Line"": 54}]",,include/linux/uio.h,50,35,portability,arithOperationsOnVoidPointer,467,"'iter->iov->iov_base' is of type 'const void *'. When using void pointers in calculations, the behaviour is undefined."
No,f0d1bec9d58d4c038d0ac958c9af82be6eb18045,"[{""Name"": ""iov_iter_iovec(const struct iov_iter *)"", ""Begin Line"": 47, ""End Line"": 54}]",,include/linux/uio.h,51,14,portability,sizeofDereferencedVoidPointer,682,"'*(' is of type 'void', the behaviour of 'sizeof(void)' is not covered by the ISO C standard."
Yes,0c949334a9e2581646c6ff0d1470a805b1e5be99,,,include/linux/log2.h,201,17,warning,sizeofCalculation,682,Found calculation inside sizeof().
Yes,0c949334a9e2581646c6ff0d1470a805b1e5be99,,,include/linux/log2.h,231,10,warning,sizeofCalculation,682,Found calculation inside sizeof().
Yes,0c949334a9e2581646c6ff0d1470a805b1e5be99,,,include/linux/log2.h,232,9,warning,sizeofCalculation,682,Found calculation inside sizeof().
Yes,0c949334a9e2581646c6ff0d1470a805b1e5be99,"[{""Name"": ""iov_iter_iovec(const struct iov_iter *)"", ""Begin Line"": 47, ""End Line"": 54}]",,include/linux/uio.h,51,14,warning,sizeofCalculation,682,Found calculation inside sizeof().
Yes,0c949334a9e2581646c6ff0d1470a805b1e5be99,"[{""Name"": ""iov_iter_iovec(const struct iov_iter *)"", ""Begin Line"": 47, ""End Line"": 54}]",,include/linux/uio.h,50,35,portability,arithOperationsOnVoidPointer,467,"'iter->iov->iov_base' is of type 'const void *'. When using void pointers in calculations, the behaviour is undefined."
Yes,0c949334a9e2581646c6ff0d1470a805b1e5be99,"[{""Name"": ""iov_iter_iovec(const struct iov_iter *)"", ""Begin Line"": 47, ""End Line"": 54}]",,include/linux/uio.h,51,14,portability,sizeofDereferencedVoidPointer,682,"'*(' is of type 'void', the behaviour of 'sizeof(void)' is not covered by the ISO C standard."
